Catch Date,District Name,Stat Area,Deliveries,Chinook Count,Sockeye Count,Coho Count,Pink Count,Chum Count,Total Count,Catch Date,Year
2018-06-25,321 - Ugashik,Ugashik Set,,,,,,,,2018-06-25,2018
2018-06-25,322 - Egegik,32200 - Egegik Drift,232,44,71361,0,0,0,71405,2018-06-25,2018
2018-06-25,322 - Egegik,Egegik Set,254,16,22719,0,0,0,22735,2018-06-25,2018
2018-06-25,325 - Nushagak,32500 - Nushagak Drift,1137,1787,510063,0,0,74493,586343,2018-06-25,2018
2018-06-25,325 - Nushagak,Nushagak Set,659,2874,231675,0,0,19451,254000,2018-06-25,2018
2018-06-25,326 - Togiak,Togiak Drift,9,40,149,0,0,473,662,2018-06-25,2018
2018-06-25,326 - Togiak,Togiak Set,16,61,331,1,0,241,634,2018-06-25,2018
2018-06-24,325 - Nushagak,32500 - Nushagak Drift,888,1555,399821,0,0,63386,464762,2018-06-24,2018
2018-06-24,325 - Nushagak,Nushagak Set,314,3935,74722,0,0,8222,86879,2018-06-24,2018
2018-06-23,321 - Ugashik,32100 - Ugashik Drift,14,25,2547,0,0,0,2572,2018-06-23,2018
2018-06-23,321 - Ugashik,Ugashik Set,,,,,,,,2018-06-23,2018
2018-06-23,325 - Nushagak,32500 - Nushagak Drift,546,939,415011,0,0,78245,494195,2018-06-23,2018
2018-06-23,325 - Nushagak,Nushagak Set,233,1362,15340,0,0,1146,17848,2018-06-23,2018
2018-06-22,322 - Egegik,32200 - Egegik Drift,150,8,8816,0,0,0,8824,2018-06-22,2018
2018-06-22,322 - Egegik,Egegik Set,145,6,6857,0,0,1,6864,2018-06-22,2018
2018-06-22,324 - Naknek-Kvichak,Naknek-Kvichak Set,,,,,,,,2018-06-22,2018
2018-06-22,325 - Nushagak,32500 - Nushagak Drift,513,1588,53985,0,15,16472,72060,2018-06-22,2018
2018-06-22,325 - Nushagak,Nushagak Set,218,804,14559,0,0,2097,17460,2018-06-22,2018
2018-06-22,326 - Togiak,Togiak Set,,,,,,,,2018-06-22,2018
2018-06-21,324 - Naknek-Kvichak,32400 - Naknek-Kvichak Drift,,,,,,,,2018-06-21,2018
2018-06-21,324 - Naknek-Kvichak,Naknek-Kvichak Set,8,7,54,0,0,0,61,2018-06-21,2018
2018-06-21,325 - Nushagak,32500 - Nushagak Drift,430,1581,74097,0,0,17490,93168,2018-06-21,2018
2018-06-21,325 - Nushagak,Nushagak Set,230,788,16139,0,0,2419,19346,2018-06-21,2018
2018-06-20,322 - Egegik,32200 - Egegik Drift,86,4,5395,0,0,0,5399,2018-06-20,2018
2018-06-20,322 - Egegik,Egegik Set,66,0,1737,0,0,2,1739,2018-06-20,2018
2018-06-20,324 - Naknek-Kvichak,Naknek-Kvichak Set,5,8,42,0,0,1,51,2018-06-20,2018
2018-06-20,325 - Nushagak,32500 - Nushagak Drift,362,2081,112878,0,0,35701,150660,2018-06-20,2018
2018-06-20,325 - Nushagak,Nushagak Set,179,397,14503,0,0,1607,16507,2018-06-20,2018
2018-06-20,326 - Togiak,Togiak Drift,,,,,,,,2018-06-20,2018
2018-06-20,326 - Togiak,Togiak Set,4,6,39,0,0,211,256,2018-06-20,2018
2018-06-19,324 - Naknek-Kvichak,32400 - Naknek-Kvichak Drift,,,,,,,,2018-06-19,2018
2018-06-19,324 - Naknek-Kvichak,Naknek-Kvichak Set,11,3,175,0,0,0,178,2018-06-19,2018
2018-06-19,325 - Nushagak,Nushagak Set,,,,,,,,2018-06-19,2018
2018-06-19,326 - Togiak,Togiak Drift,4,14,20,0,0,314,348,2018-06-19,2018
2018-06-19,326 - Togiak,Togiak Set,23,51,122,0,0,287,460,2018-06-19,2018
